Screen Time,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,Group_Attention,Group_Emotional,Group_SocialValidation,Group_Behavioral
Less than an Hour,2.3823529411764706,1.8235294117647058,1.3823529411764706,2.0588235294117645,2.3529411764705883,1.7941176470588236,2.1470588235294117,2.6176470588235294,2.0588235294117645,2.0,2.1176470588235294,2.5588235294117645,2.014705882352941,2.156862745098039,2.2745098039215685,1.9705882352941175
Between 1 and 2 hours,3.057142857142857,2.657142857142857,1.8285714285714285,2.9285714285714284,3.057142857142857,2.7142857142857144,2.442857142857143,2.7,2.3142857142857145,2.8,2.8,2.8714285714285714,2.8392857142857144,2.8857142857142857,2.4857142857142858,2.35
Between 2 and 3 hours,3.4752475247524752,3.3168316831683167,2.623762376237624,3.3069306930693068,3.405940594059406,3.237623762376238,2.623762376237624,2.8415841584158414,2.4554455445544554,3.1782178217821784,3.00990099009901,3.118811881188119,3.3341584158415842,3.198019801980198,2.6402640264026402,2.871287128712871
Between 3 and 4 hours,3.6559139784946235,3.4516129032258065,2.6236559139784945,3.4731182795698925,3.903225806451613,3.5376344086021505,3.150537634408602,2.7096774193548385,2.4193548387096775,3.3655913978494625,3.4086021505376345,3.2795698924731185,3.529569892473118,3.5591397849462365,2.759856630824373,2.9516129032258065
Between 4 and 5 hours,3.746268656716418,3.7761194029850746,2.8358208955223883,3.6417910447761193,3.6865671641791047,3.4328358208955225,3.029850746268657,2.7611940298507465,2.5970149253731343,3.4477611940298507,3.2686567164179103,3.462686567164179,3.6492537313432836,3.4676616915422884,2.7960199004975124,3.1492537313432836
More than 5 hours,4.068965517241379,3.793103448275862,3.1982758620689653,3.75,4.0,3.6551724137931036,3.0775862068965516,2.8706896551724137,2.603448275862069,3.7672413793103448,3.5948275862068964,3.4482758620689653,3.8168103448275863,3.7873563218390807,2.850574712643678,3.3232758620689653
